Bear ID	Sex	Capture site	Diet‐year	δ15N (‰)	δ13C (‰)	P‐FC	Plant and animal proportions	Human food proportions
95% credible interval	95% credible interval
0.025	0.50	0.975	0.025	0.50	0.975

A. Known FC bears 2001–2003 (n = 14)
 1278	M	East Valley	2003	5.4	−21.1	1.000	0.66	0.79	0.89	0.11	0.21	0.34
 2251	M	East Valley	2003	3.5	−22.6	0.638	0.83	0.91	0.97	0.03	0.09	0.17
 2255†	M	East Valley	2003	6.7	−21.4	1.000	0.52	0.67	0.81	0.19	0.33	0.48
 3552	M	East Valley	2003	6.7	−19.9	1.000	0.49	0.65	0.79	0.21	0.35	0.51
 2297†	M	East Valley	2001	5.3	−21.0	1.000	0.67	0.80	0.90	0.10	0.20	0.33
 2297†	M	East Valley	2002	5.1	−20.6	0.999	0.69	0.81	0.91	0.09	0.19	0.31
 2312	M	East Valley	2003	5.4	−21.3	1.000	0.67	0.79	0.90	0.10	0.21	0.33
 2391†	F	East Valley	2003	3.8	−20.0	0.849	0.80	0.89	0.96	0.04	0.11	0.20
 2394§	F	East Valley	2001	4.0	−21.2	0.919	0.79	0.89	0.96	0.04	0.11	0.21
 3049	F	East Valley	2003	6.6	−20.4	1.000	0.50	0.66	0.80	0.20	0.34	0.50
 2283	F	East Valley	2003	2.9	−20.4	0.124	0.85	0.93	0.97	0.03	0.07	0.15
 3558†	F	East Valley	2003	3.5	−21.0	0.657	0.82	0.91	0.96	0.04	0.09	0.18
 3821†	F	East Valley	2003	5.3	−20.9	1.000	0.67	0.79	0.90	0.10	0.21	0.33
 3820	F	East Valley	2003	4.9	−20.5	0.998	0.70	0.82	0.92	0.08	0.18	0.30
 Mean				4.9	−20.9							
 1 SD				1.2	0.7							
B. Known FC bears 2005–2007 (n = 22)
 2255	M	East Valley	2005	4.6	−20.6	0.993	0.74	0.85	0.93	0.08	0.18	0.30
 2255†	M	East Valley	2006	5.9	−20.9	1.000	0.61	0.75	0.87	0.07	0.15	0.26
 3602	M	Foresta	2005	3.9	−22.4	0.895	0.81	0.90	0.96	0.13	0.25	0.39
 3602†	M	Foresta	2006	4.8	−22.9	0.997	0.74	0.85	0.93	0.04	0.10	0.19
 3566†	M	White Wolf	2006	3.5	−22.1	0.569	0.83	0.91	0.97	0.07	0.15	0.26
 2297	M	East Valley	2005	4.0	−20.8	0.922	0.79	0.89	0.95	0.03	0.09	0.17
 2297†	M	May Lake	2007	3.7	−20.4	0.814	0.80	0.90	0.96	0.05	0.11	0.21
 3012	M	East Valley	2005	4.9	−20.8	0.998	0.71	0.83	0.92	0.04	0.10	0.20
 3254§	M	East Valley	2005	4.6	−22.1	0.928	0.80	0.89	0.96	0.08	0.17	0.29
 3254†	M	East Valley	2007	4.0	−22.2	0.994	0.75	0.85	0.94	0.04	0.11	0.20
 3055	M	East Valley	2006	4.2	−22.4	0.968	0.79	0.88	0.95	0.06	0.15	0.25
 3821	F	East Valley	2005	4.1	−20.6	0.958	0.78	0.88	0.95	0.05	0.12	0.21
 3821†	F	East Valley	2006	5.6	−20.2	1.000	0.63	0.76	0.88	0.05	0.12	0.22
 2391	F	East Valley	2006	4.4	−20.2	0.982	0.76	0.86	0.94	0.12	0.24	0.37
 2259	F	East Valley	2006	3.5	−21.7	0.667	0.82	0.91	0.97	0.06	0.14	0.24
 2394§	F	East Valley	2006	4.7	−20.7	0.995	0.74	0.84	0.93	0.03	0.09	0.18
 3558	F	East Valley	2005	3.9	−21.1	0.891	0.80	0.89	0.96	0.07	0.16	0.26
 3558†	F	East Valley	2007	4.3	−20.6	0.978	0.76	0.87	0.95	0.04	0.11	0.20
 3569	F	East Valley	2005	4.7	−22.0	0.996	0.74	0.85	0.93	0.05	0.13	0.24
 3899	F	East Valley	2006	4.2	−21.3	0.973	0.77	0.87	0.95	0.07	0.15	0.26
 3899†	F	East Valley	2007	4.8	−21.9	0.996	0.74	0.85	0.93	0.05	0.13	0.23
 3057	F	East Valley	2007	4.3	−22.5	0.980	0.78	0.88	0.95	0.07	0.15	0.26
 Mean				4.4	−21.4							
 1 SD				0.6	0.8							
C. Unknown management bears predicted FC, 2005–2007 (n = 4)
 3573	M	East Valley	2006	3.9	−22.8	0.898	0.81	0.90	0.96	0.04	0.10	0.19
 3097	M	East Valley	2005	3.6	−22.3	0.728	0.82	0.91	0.96	0.04	0.09	0.18
 3097†	M	East Valley	2006	3.9	−21.8	0.878	0.81	0.90	0.96	0.04	0.10	0.19
 134550	M	Merced Lake	2007	6.3	−22.0	1.000	0.58	0.72	0.85	0.15	0.28	0.42
 Mean				4.4	−22.2							
 1 SD				1.3	0.5							
D. Unknown hair‐snare bears predicted FC, 2005–2007 (n = 15)
 130155	M	Foresta	2006	4.8	−22.2	0.997	0.74	0.85	0.93	0.07	0.15	0.26
